"","Day","Month","Hour","ShapeProfValue"
"1",1,1,0,-4.14604166666667
"2",1,1,1,-5.66104166666667
"3",1,1,2,-6.20354166666667
"4",1,1,3,-6.07604166666667
"5",1,1,4,-5.10604166666667
"6",1,1,5,-3.58604166666667
"7",1,1,6,-0.571041666666666
"8",1,1,7,0.651458333333333
"9",1,1,8,5.60145833333333
"10",1,1,9,6.85395833333333
"11",1,1,10,5.74395833333333
"12",1,1,11,1.52395833333333
"13",1,1,12,-0.126041666666667
"14",1,1,13,-1.32604166666667
"15",1,1,14,-1.55104166666667
"16",1,1,15,-2.00354166666667
"17",1,1,16,-1.10604166666667
"18",1,1,17,11.5339583333333
"19",1,1,18,14.2489583333333
"20",1,1,19,8.65645833333333
"21",1,1,20,6.13145833333333
"22",1,1,21,2.32145833333333
"23",1,1,22,0.393958333333333
"24",1,1,23,-2.19854166666667
"25",1,2,0,-5.73583333333333
"26",1,2,1,-7.00083333333333
"27",1,2,2,-6.99583333333333
"28",1,2,3,-4.35583333333333
"29",1,2,4,-3.51083333333333
"30",1,2,5,-0.0333333333333323
"31",1,2,6,11.8916666666667
"32",1,2,7,5.49666666666667
"33",1,2,8,3.76166666666667
"34",1,2,9,3.88916666666667
"35",1,2,10,2.43916666666667
"36",1,2,11,1.52416666666667
"37",1,2,12,1.09916666666667
"38",1,2,13,1.34416666666667
"39",1,2,14,1.26166666666667
"40",1,2,15,0.609166666666669
"41",1,2,16,0.574166666666668
"42",1,2,17,7.08916666666667
"43",1,2,18,11.7466666666667
"44",1,2,19,2.37916666666667
"45",1,2,20,1.25666666666667
"46",1,2,21,0.0966666666666676
"47",1,2,22,-1.65333333333333
"48",1,2,23,-3.17333333333333
"49",1,3,0,-7.02041666666667
"50",1,3,1,-7.64291666666667
"51",1,3,2,-8.54041666666667
"52",1,3,3,-7.72291666666667
"53",1,3,4,-5.72791666666667
"54",1,3,5,-3.79541666666667
"55",1,3,6,4.51458333333333
"56",1,3,7,0.874583333333335
"57",1,3,8,0.274583333333334
"58",1,3,9,3.06958333333333
"59",1,3,10,1.45208333333333
"60",1,3,11,1.11708333333333
"61",1,3,12,1.81208333333333
"62",1,3,13,3.59958333333333
"63",1,3,14,3.62958333333333
"64",1,3,15,3.67708333333333
"65",1,3,16,3.32958333333333
"66",1,3,17,4.80958333333333
"67",1,3,18,22.7545833333333
"68",1,3,19,6.85958333333333
"69",1,3,20,3.14708333333333
"70",1,3,21,1.64958333333333
"71",1,3,22,-0.617916666666666
"72",1,3,23,-1.50291666666667
"73",1,4,0,-6.74302083333333
"74",1,4,1,-7.87052083333333
"75",1,4,2,-7.65052083333333
"76",1,4,3,-7.14552083333333
"77",1,4,4,-6.64552083333333
"78",1,4,5,-3.40802083333333
"79",1,4,6,13.4344791666667
