"","Day","Month","Hour","ShapeProfValue"
"1",1,1,0,-4.1415625
"2",1,1,1,-5.6590625
"3",1,1,2,-6.2065625
"4",1,1,3,-6.0790625
"5",1,1,4,-5.1015625
"6",1,1,5,-3.5715625
"7",1,1,6,-0.564062499999999
"8",1,1,7,0.633437499999999
"9",1,1,8,5.5409375
"10",1,1,9,6.8309375
"11",1,1,10,5.7334375
"12",1,1,11,1.5084375
"13",1,1,12,-0.139062500000001
"14",1,1,13,-1.3390625
"15",1,1,14,-1.5640625
"16",1,1,15,-2.0090625
"17",1,1,16,-1.1090625
"18",1,1,17,11.5284375
"19",1,1,18,14.2684375
"20",1,1,19,8.6934375
"21",1,1,20,6.1509375
"22",1,1,21,2.3684375
"23",1,1,22,0.4134375
"24",1,1,23,-2.1865625
"25",1,2,0,-5.93010416666667
"26",1,2,1,-7.23260416666667
"27",1,2,2,-7.22510416666667
"28",1,2,3,-4.61010416666667
"29",1,2,4,-3.75510416666667
"30",1,2,5,-0.272604166666667
"31",1,2,6,11.7548958333333
"32",1,2,7,5.33739583333333
"33",1,2,8,3.62239583333333
"34",1,2,9,3.74239583333333
"35",1,2,10,2.33739583333333
"36",1,2,11,1.58239583333333
"37",1,2,12,1.22489583333333
"38",1,2,13,1.52739583333333
"39",1,2,14,1.55989583333333
"40",1,2,15,1.00489583333333
"41",1,2,16,0.909895833333334
"42",1,2,17,7.50739583333333
"43",1,2,18,12.1673958333333
"44",1,2,19,2.60739583333333
"45",1,2,20,1.29489583333333
"46",1,2,21,0.0623958333333343
"47",1,2,22,-1.77260416666667
"48",1,2,23,-3.44510416666667
"49",1,3,0,-7.56166666666667
"50",1,3,1,-8.19416666666667
"51",1,3,2,-9.05916666666667
"52",1,3,3,-8.09416666666667
"53",1,3,4,-6.08666666666667
"54",1,3,5,-4.00166666666667
"55",1,3,6,4.76333333333333
"56",1,3,7,0.915833333333331
"57",1,3,8,0.320833333333332
"58",1,3,9,3.14333333333333
"59",1,3,10,1.64333333333333
"60",1,3,11,1.50333333333333
"61",1,3,12,2.36333333333333
"62",1,3,13,4.33583333333333
"63",1,3,14,4.38083333333333
"64",1,3,15,4.30583333333333
"65",1,3,16,3.72333333333333
"66",1,3,17,4.75833333333333
"67",1,3,18,22.4933333333333
"68",1,3,19,6.64083333333333
"69",1,3,20,2.96583333333333
"70",1,3,21,1.38583333333333
"71",1,3,22,-0.844166666666669
"72",1,3,23,-1.80166666666667
"73",1,4,0,-7.23052083333333
"74",1,4,1,-8.27802083333333
"75",1,4,2,-8.08052083333333
"76",1,4,3,-7.62302083333333
"77",1,4,4,-7.12302083333333
"78",1,4,5,-3.91052083333333
"79",1,4,6,12.8419791666667
"80",1,4,7,9.40697916666667
"81",1,4,8,3.78697916666667
"82",1,4,9,2.33697916666667
"83",1,4,10,0.381979166666666
"84",1,4,11,0.661979166666666
"85",1,4,12,1.30447916666667
"86",1,4,13,3.35197916666667
"87",1,4,14,6.33197916666667
"88",1,4,15,7.47947916666666
"89",1,4,16,10.0344791666667
"90",1,4,17,3.68697916666667
"91",1,4,18,1.89947916666667
"92",1,4,19,5.27697916666667
"93",1,4,20,6.06697916666667
"94",1,4,21,-1.05802083333333
"95",1,4,22,-3.13052083333333
"96",1,4,23,-4.41552083333333
"97",1,5,0,-4.27552083333333
"98",1,5,1,-5.48552083333333
"99",1,5,2,-7.38552083333333
"100",1,5,3,-8.54552083333333
"101",1,5,4,-8.30802083333333
"102",1,5,5,-6.65552083333333
"103",1,5,6,-2.21552083333333
"104",1,5,7,-2.99302083333333
"105",1,5,8,-1.37802083333333
"106",1,5,9,-0.718020833333333
"107",1,5,10,-0.465520833333332
"108",1,5,11,1.40447916666667
"109",1,5,12,2.26447916666667
