"","Day","Month","Hour","ShapeProfValue"
"1",1,1,0,-4.02291666666667
"2",1,1,1,-5.53041666666667
"3",1,1,2,-6.09291666666667
"4",1,1,3,-5.96041666666667
"5",1,1,4,-4.98041666666667
"6",1,1,5,-3.42041666666667
"7",1,1,6,-0.410416666666666
"8",1,1,7,0.829583333333335
"9",1,1,8,5.71208333333333
"10",1,1,9,6.82208333333333
"11",1,1,10,5.62958333333333
"12",1,1,11,1.40958333333333
"13",1,1,12,-0.232916666666666
"14",1,1,13,-1.43041666666667
"15",1,1,14,-1.64791666666667
"16",1,1,15,-2.09291666666667
"17",1,1,16,-1.19791666666667
"18",1,1,17,11.5095833333333
"19",1,1,18,14.2045833333333
"20",1,1,19,8.56958333333333
"21",1,1,20,6.05708333333333
"22",1,1,21,2.17708333333333
"23",1,1,22,0.347083333333333
"24",1,1,23,-2.24791666666667
"25",1,2,0,-5.2946875
"26",1,2,1,-6.4921875
"27",1,2,2,-6.4746875
"28",1,2,3,-3.7871875
"29",1,2,4,-2.9746875
"30",1,2,5,0.482812500000001
"31",1,2,6,12.1728125
"32",1,2,7,5.8028125
"33",1,2,8,4.0278125
"34",1,2,9,4.1903125
"35",1,2,10,2.6628125
"36",1,2,11,1.4428125
"37",1,2,12,0.877812500000002
"38",1,2,13,0.960312500000002
"39",1,2,14,0.707812500000002
"40",1,2,15,-0.147187499999998
"41",1,2,16,-0.152187499999999
"42",1,2,17,6.2728125
"43",1,2,18,10.8978125
"44",1,2,19,1.9053125
"45",1,2,20,1.1303125
"46",1,2,21,0.102812500000001
"47",1,2,22,-1.5621875
"48",1,2,23,-2.7521875
"49",1,3,0,-6.25020833333333
"50",1,3,1,-6.80770833333333
"51",1,3,2,-7.73270833333333
"52",1,3,3,-7.11770833333333
"53",1,3,4,-5.08520833333333
"54",1,3,5,-3.44020833333333
"55",1,3,6,4.08979166666667
"56",1,3,7,0.832291666666667
"57",1,3,8,0.239791666666667
"58",1,3,9,2.98479166666667
"59",1,3,10,1.13229166666667
"60",1,3,11,0.434791666666666
"61",1,3,12,0.852291666666666
"62",1,3,13,2.28229166666667
"63",1,3,14,2.25479166666667
"64",1,3,15,2.50729166666667
"65",1,3,16,2.63979166666667
"66",1,3,17,4.93729166666667
"67",1,3,18,23.2947916666667
"68",1,3,19,7.30479166666667
"69",1,3,20,3.54479166666667
"70",1,3,21,2.17229166666667
"71",1,3,22,-0.165208333333333
"72",1,3,23,-0.905208333333333
"73",1,4,0,-6.19395833333333
"74",1,4,1,-7.40145833333333
"75",1,4,2,-7.09895833333333
"76",1,4,3,-6.48145833333333
"77",1,4,4,-5.96645833333333
"78",1,4,5,-2.64145833333333
"79",1,4,6,14.6535416666667
"80",1,4,7,11.3010416666667
"81",1,4,8,5.40854166666667
"82",1,4,9,3.57354166666667
"83",1,4,10,1.29604166666667
"84",1,4,11,1.11104166666667
"85",1,4,12,1.02354166666667
"86",1,4,13,2.08354166666667
"87",1,4,14,3.30104166666667
"88",1,4,15,3.38354166666667
"89",1,4,16,5.69854166666667
"90",1,4,17,1.14854166666667
"91",1,4,18,1.45604166666667
"92",1,4,19,5.75354166666667
"93",1,4,20,5.57354166666667
"94",1,4,21,-0.936458333333332
"95",1,4,22,-2.50395833333333
"96",1,4,23,-3.54145833333333
"97",1,5,0,-4.25395833333333
"98",1,5,1,-5.10895833333333
"99",1,5,2,-7.15395833333333
"100",1,5,3,-8.31645833333333
"101",1,5,4,-7.92645833333333
"102",1,5,5,-6.44645833333333
"103",1,5,6,-1.94895833333333
"104",1,5,7,-2.09395833333333
"105",1,5,8,-0.931458333333333
"106",1,5,9,0.0310416666666669
"107",1,5,10,0.0860416666666675
"108",1,5,11,0.836041666666667
"109",1,5,12,1.83604166666667
"110",1,5,13,4.53354166666667
"111",1,5,14,8.80354166666667
"112",1,5,15,15.2360416666667
"113",1,5,16,17.2035416666667
"114",1,5,17,9.91604166666667
"115",1,5,18,5.55104166666667
"116",1,5,19,4.62104166666667
"117",1,5,20,4.81854166666667
"118",1,5,21,0.926041666666666
"119",1,5,22,-1.85145833333333
"120",1,5,23,-4.36645833333333
"121",1,6,0,-6.70229166666667
"122",1,6,1,-7.91229166666667
"123",1,6,2,-8.63229166666667
"124",1,6,3,-8.83229166666667
"125",1,6,4,-8.64479166666667
"126",1,6,5,-7.74479166666667
"127",1,6,6,-6.63229166666667
"128",1,6,7,-6.34729166666667
"129",1,6,8,-5.14229166666667
"130",1,6,9,-3.35729166666667
"131",1,6,10,-0.882291666666666
"132",1,6,11,1.69270833333333
"133",1,6,12,4.28770833333333
"134",1,6,13,6.84520833333333
"135",1,6,14,17.5102083333333
"136",1,6,15,29.4127083333333
"137",1,6,16,28.4252083333333
"138",1,6,17,9.77020833333333
"139",1,6,18,5.25020833333333
"140",1,6,19,1.43520833333333
"141",1,6,20,0.0802083333333332
"142",1,6,21,-2.03479166666667
"143",1,6,22,-2.58229166666667
"144",1,6,23,-5.26229166666667
"145",1,7,0,-5.41322916666667
"146",1,7,1,-7.72822916666667
"147",1,7,2,-8.93822916666667
"148",1,7,3,-9.54572916666667
"149",1,7,4,-9.64572916666667
"150",1,7,5,-8.82322916666667
"151",1,7,6,-7.88322916666667
"152",1,7,7,-7.04572916666667
"153",1,7,8,-5.75572916666667
"154",1,7,9,-3.94322916666667
"155",1,7,10,-1.78822916666667
"156",1,7,11,-0.610729166666669
"157",1,7,12,4.32177083333333
"158",1,7,13,9.98177083333333
"159",1,7,14,15.3792708333333
"160",1,7,15,26.7567708333333
"161",1,7,16,32.6817708333333
"162",1,7,17,14.1367708333333
"163",1,7,18,5.24677083333333
"164",1,7,19,2.37177083333333
"165",1,7,20,-0.125729166666669
"166",1,7,21,-1.10322916666667
"167",1,7,22,-2.97572916666667
"168",1,7,23,-5.55072916666667
"169",1,8,0,-13.8167708333333
"170",1,8,1,-15.0417708333333
"171",1,8,2,-15.7117708333333
"172",1,8,3,-16.2667708333333
"173",1,8,4,-16.2392708333333
"174",1,8,5,-15.1867708333333
"175",1,8,6,-14.3192708333333
"176",1,8,7,-14.0292708333333
"177",1,8,8,-12.3317708333333
"178",1,8,9,-10.7092708333333
"179",1,8,10,-7.15927083333334
"180",1,8,11,-2.98927083333334
"181",1,8,12,4.57822916666666
"182",1,8,13,25.9857291666667
"183",1,8,14,39.8532291666667
"184",1,8,15,58.1682291666667
"185",1,8,16,56.3057291666667
"186",1,8,17,24.3732291666667
"187",1,8,18,4.62072916666666
"188",1,8,19,-1.35927083333334
"189",1,8,20,-4.06677083333334
"190",1,8,21,-8.20677083333334
"191",1,8,22,-10.3792708333333
"192",1,8,23,-12.0717708333333
"193",1,9,0,-10.2080208333333
"194",1,9,1,-11.0330208333333
"195",1,9,2,-11.6130208333333
"196",1,9,3,-11.8855208333333
"197",1,9,4,-11.7630208333333
"198",1,9,5,-11.3305208333333
"199",1,9,6,-9.72302083333333
"200",1,9,7,-9.49802083333333
"201",1,9,8,-8.41802083333333
"202",1,9,9,-6.75302083333333
"203",1,9,10,-3.97552083333333
"204",1,9,11,0.304479166666668
"205",1,9,12,5.85447916666667
"206",1,9,13,11.3919791666667
"207",1,9,14,25.4144791666667
"208",1,9,15,38.8444791666667
"209",1,9,16,42.2869791666667
"210",1,9,17,16.6344791666667
"211",1,9,18,5.84447916666667
"212",1,9,19,1.95697916666667
"213",1,9,20,0.331979166666668
"214",1,9,21,-3.45302083333333
"215",1,9,22,-6.76802083333333
"216",1,9,23,-8.44302083333333
"217",1,10,0,-4.7315625
"218",1,10,1,-6.4215625
"219",1,10,2,-6.7640625
"220",1,10,3,-6.9215625
"221",1,10,4,-6.7815625
"222",1,10,5,-5.6690625
"223",1,10,6,-5.0215625
"224",1,10,7,-5.0390625
"225",1,10,8,-3.7215625
"226",1,10,9,-3.0490625
"227",1,10,10,-1.6715625
"228",1,10,11,-0.0965624999999983
"229",1,10,12,1.9809375
"230",1,10,13,5.7634375
"231",1,10,14,10.1009375
"232",1,10,15,23.0809375
"233",1,10,16,23.2309375
"234",1,10,17,11.3484375
"235",1,10,18,7.8834375
"236",1,10,19,5.6809375
"237",1,10,20,0.818437500000001
"238",1,10,21,-2.5915625
"239",1,10,22,-3.4165625
"240",1,10,23,-3.9915625
"241",1,11,0,-3.34114583333333
"242",1,11,1,-6.13614583333333
"243",1,11,2,-7.27114583333333
"244",1,11,3,-7.14364583333333
"245",1,11,4,-5.02364583333333
"246",1,11,5,-2.26114583333333
"247",1,11,6,7.37385416666667
"248",1,11,7,7.58385416666667
"249",1,11,8,1.97385416666667
"250",1,11,9,1.35135416666667
"251",1,11,10,0.833854166666668
"252",1,11,11,1.21135416666667
"253",1,11,12,1.85385416666667
"254",1,11,13,1.86635416666667
"255",1,11,14,2.84635416666667
"256",1,11,15,4.49135416666667
"257",1,11,16,4.97135416666667
"258",1,11,17,5.95385416666667
"259",1,11,18,7.99385416666667
"260",1,11,19,8.33635416666667
"261",1,11,20,2.76385416666667
"262",1,11,21,0.341354166666668
"263",1,11,22,-2.03114583333333
"264",1,11,23,-4.53864583333333
"265",1,12,0,-3.5996875
"266",1,12,1,-4.4696875
"267",1,12,2,-4.8696875
"268",1,12,3,-4.9471875
"269",1,12,4,-4.0246875
"270",1,12,5,-2.8946875
"271",1,12,6,4.3828125
"272",1,12,7,2.5828125
"273",1,12,8,2.1128125
"274",1,12,9,1.4978125
"275",1,12,10,0.4253125
"276",1,12,11,-0.2221875
"277",1,12,12,-0.954687499999999
"278",1,12,13,-1.5371875
"279",1,12,14,-1.3446875
"280",1,12,15,-1.7346875
"281",1,12,16,1.0603125
"282",1,12,17,23.7003125
"283",1,12,18,10.3203125
"284",1,12,19,5.7328125
"285",1,12,20,2.9253125
"286",1,12,21,1.9378125
"287",1,12,22,-0.0371874999999999
"288",1,12,23,-2.0421875
"289",2,1,0,-11.1528125
"290",2,1,1,-12.5403125
"291",2,1,2,-12.6203125
"292",2,1,3,-12.2253125
"293",2,1,4,-8.3528125
"294",2,1,5,-5.9153125
"295",2,1,6,26.3571875
"296",2,1,7,32.0871875
"297",2,1,8,14.2696875
"298",2,1,9,11.0871875
"299",2,1,10,3.1696875
"300",2,1,11,-1.4403125
"301",2,1,12,-4.5853125
"302",2,1,13,-6.1428125
"303",2,1,14,-6.8478125
"304",2,1,15,-7.5378125
"305",2,1,16,-4.7103125
"306",2,1,17,20.3246875
"307",2,1,18,21.2446875
"308",2,1,19,5.7746875
"309",2,1,20,3.4946875
"310",2,1,21,-2.5953125
"311",2,1,22,-6.2428125
"312",2,1,23,-10.9003125
"313",2,2,0,-4.3825
"314",2,2,1,-4.6875
"315",2,2,2,-4.815
"316",2,2,3,-4.6875
"317",2,2,4,-2.855
"318",2,2,5,-1.21
"319",2,2,6,7.2225
"320",2,2,7,4.145
"321",2,2,8,4.1925
"322",2,2,9,4.2
"323",2,2,10,3.7275
"324",2,2,11,1.975
"325",2,2,12,0.13
"326",2,2,13,-0.1225
"327",2,2,14,-0.63
"328",2,2,15,-0.189999999999999
"329",2,2,16,0.27
