"","Day","Month","Hour","ShapeProfValue"
"1",1,5,0,0.669583333333332
"2",1,5,1,-2.45041666666667
"3",1,5,2,-5.82041666666667
"4",1,5,3,-6.06041666666667
"5",1,5,4,-4.94041666666667
"6",1,5,5,-2.99041666666667
"7",1,5,6,-0.050416666666667
"8",1,5,7,-0.220416666666669
"9",1,5,8,1.33958333333333
"10",1,5,9,3.12958333333333
"11",1,5,10,1.45958333333333
"12",1,5,11,1.46958333333333
"13",1,5,12,2.55958333333333
"14",1,5,13,3.76958333333333
"15",1,5,14,8.48958333333333
"16",1,5,15,13.8395833333333
"17",1,5,16,22.7895833333333
"18",1,5,17,5.00958333333333
"19",1,5,18,-3.48041666666667
"20",1,5,19,-0.980416666666667
"21",1,5,20,-0.0704166666666666
"22",1,5,21,-4.69041666666667
"23",1,5,22,-3.53041666666667
"24",1,5,23,-5.24041666666667
"25",1,6,0,-9.10833333333333
"26",1,6,1,-10.1683333333333
"27",1,6,2,-10.4383333333333
"28",1,6,3,-9.98833333333333
"29",1,6,4,-10.7383333333333
"30",1,6,5,-10.4483333333333
"31",1,6,6,-10.5483333333333
"32",1,6,7,-9.19833333333333
"33",1,6,8,-7.37833333333333
"34",1,6,9,-3.60833333333333
"35",1,6,10,-0.908333333333331
"36",1,6,11,2.61166666666667
"37",1,6,12,6.37166666666667
"38",1,6,13,9.75166666666667
"39",1,6,14,19.4116666666667
"40",1,6,15,32.1216666666667
"41",1,6,16,29.1116666666667
"42",1,6,17,15.7516666666667
"43",1,6,18,5.18166666666667
"44",1,6,19,1.51166666666667
"45",1,6,20,1.44166666666667
"46",1,6,21,-0.398333333333333
"47",1,6,22,-1.12833333333333
"48",1,6,23,-5.20833333333333
"49",1,7,0,-11.15
"50",1,7,1,-9.53
"51",1,7,2,-7.01
"52",1,7,3,-5.64
"53",1,7,4,-4.71
"54",1,7,5,-3.59
"55",1,7,6,-1.01
"56",1,7,7,-1.27
"57",1,7,8,-0.73
"58",1,7,9,-0.140000000000001
"59",1,7,10,0.440000000000001
"60",1,7,11,2.71
"61",1,7,12,6.47
"62",1,7,13,13.26
"63",1,7,14,21.13
"64",1,7,15,23.16
"65",1,7,16,23.24
"66",1,7,17,10.44
"67",1,7,18,2.47
"68",1,7,19,0.790000000000003
"69",1,7,20,-1.93
"70",1,7,21,-8.41
"71",1,7,22,-11.69
"72",1,7,23,-13.3
"73",1,8,0,-35.0454166666667
"74",1,8,1,-35.8454166666667
"75",1,8,2,-33.5354166666667
"76",1,8,3,-32.7354166666667
"77",1,8,4,-30.2254166666667
"78",1,8,5,-28.3554166666667
"79",1,8,6,-25.3754166666667
"80",1,8,7,-24.2354166666667
"81",1,8,8,-22.6954166666667
"82",1,8,9,-21.4654166666667
"83",1,8,10,-15.7654166666667
"84",1,8,11,-11.6954166666667
"85",1,8,12,7.21458333333333
"86",1,8,13,76.1145833333333
"87",1,8,14,101.464583333333
"88",1,8,15,133.164583333333
"89",1,8,16,123.484583333333
"90",1,8,17,35.2645833333333
"91",1,8,18,-3.87541666666667
"92",1,8,19,-16.5354166666667
"93",1,8,20,-20.7254166666667
"94",1,8,21,-27.8954166666667
"95",1,8,22,-32.4354166666667
"96",1,8,23,-34.2654166666667
"97",1,9,0,-18.27375
"98",1,9,1,-17.77375
"99",1,9,2,-18.19375
"100",1,9,3,-17.75375
"101",1,9,4,-17.91375
"102",1,9,5,-17.98375
"103",1,9,6,-16.71375
"104",1,9,7,-15.61375
"105",1,9,8,-14.00375
"106",1,9,9,-12.57375
"107",1,9,10,-10.27375
"108",1,9,11,-4.72375
"109",1,9,12,5.05625000000001
"110",1,9,13,9.04625
"111",1,9,14,29.49625
"112",1,9,15,74.19625
"113",1,9,16,90.02625
"114",1,9,17,37.58625
"115",1,9,18,8.24625
"116",1,9,19,0.266250000000003
"117",1,9,20,-4.23375
"118",1,9,21,-11.53375
"119",1,9,22,-15.53375
"120",1,9,23,-16.82375
"121",1,10,0,-10.5191666666667
"122",1,10,1,-12.5391666666667
"123",1,10,2,-13.2791666666667
"124",1,10,3,-12.8191666666667
"125",1,10,4,-15.2791666666667
"126",1,10,5,-12.8391666666667
"127",1,10,6,-12.0891666666667
"128",1,10,7,-11.4591666666667
"129",1,10,8,-7.48916666666667
"130",1,10,9,-7.41916666666667
"131",1,10,10,-4.25916666666667
"132",1,10,11,-4.59916666666667
"133",1,10,12,-5.73916666666667
"134",1,10,13,-4.98916666666667
"135",1,10,14,-1.26916666666667
"136",1,10,15,26.3808333333333
"137",1,10,16,29.3608333333333
"138",1,10,17,28.5908333333333
"139",1,10,18,19.5708333333333
"140",1,10,19,23.0808333333333
"141",1,10,20,12.4008333333333
"142",1,10,21,5.99083333333333
"143",1,10,22,4.40083333333333
"144",1,10,23,10.8108333333333
"145",1,11,0,-5.93666666666667
"146",1,11,1,-7.86666666666667
"147",1,11,2,-7.86666666666667
"148",1,11,3,-7.87666666666667
"149",1,11,4,-5.03666666666667
"150",1,11,5,-2.81666666666667
"151",1,11,6,7.24333333333333
"152",1,11,7,10.2333333333333
"153",1,11,8,9.08333333333333
"154",1,11,9,11.2333333333333
"155",1,11,10,11.5433333333333
"156",1,11,11,11.2933333333333
"157",1,11,12,5.65333333333333
"158",1,11,13,2.78333333333333
"159",1,11,14,-0.686666666666667
"160",1,11,15,-0.906666666666667
"161",1,11,16,-0.906666666666667
"162",1,11,17,-0.206666666666667
"163",1,11,18,1.18333333333333
"164",1,11,19,0.0633333333333335
"165",1,11,20,-2.27666666666667
"166",1,11,21,0.0933333333333328
"167",1,11,22,-1.03666666666667
"168",1,11,23,-2.98666666666667
"169",1,12,0,-7.2075
"170",1,12,1,-6.1675
"171",1,12,2,-4.8675
"172",1,12,3,-5.0175
"173",1,12,4,-3.4275
"174",1,12,5,-3.4075
"175",1,12,6,-2.4875
"176",1,12,7,-0.4175
"177",1,12,8,3.1025
"178",1,12,9,-0.537499999999998
"179",1,12,10,-0.377500000000001
"180",1,12,11,-1.0775
"181",1,12,12,-2.5075
"182",1,12,13,-3.4075
"183",1,12,14,-3.3875
"184",1,12,15,-3.6575
"185",1,12,16,1.0425
