"","Day","Month","Hour","ShapeProfValue"
"1",1,1,0,-4.85104166666667
"2",1,1,1,-6.41604166666667
"3",1,1,2,-6.82104166666667
"4",1,1,3,-6.71854166666667
"5",1,1,4,-5.79854166666667
"6",1,1,5,-4.50604166666667
"7",1,1,6,-1.36104166666667
"8",1,1,7,0.0614583333333316
"9",1,1,8,5.48895833333333
"10",1,1,9,7.27895833333333
"11",1,1,10,6.33145833333333
"12",1,1,11,2.10145833333333
"13",1,1,12,0.411458333333332
"14",1,1,13,-0.813541666666667
"15",1,1,14,-1.05854166666667
"16",1,1,15,-1.57604166666667
"17",1,1,16,-0.641041666666668
"18",1,1,17,11.7389583333333
"19",1,1,18,14.4439583333333
"20",1,1,19,8.95895833333333
"21",1,1,20,6.41145833333333
"22",1,1,21,2.80895833333333
"23",1,1,22,0.538958333333332
"24",1,1,23,-2.01354166666667
"25",1,2,0,-6.42
"26",1,2,1,-7.7525
"27",1,2,2,-7.77
"28",1,2,3,-5.1725
"29",1,2,4,-4.25
"30",1,2,5,-0.767500000000001
"31",1,2,6,11.595
"32",1,2,7,5.25
"33",1,2,8,3.5175
"34",1,2,9,3.5325
"35",1,2,10,2.1325
"36",1,2,11,1.5375
"37",1,2,12,1.2725
"38",1,2,13,1.7925
"39",1,2,14,1.7175
"40",1,2,15,1.335
"41",1,2,16,1.565
"42",1,2,17,7.9125
"43",1,2,18,12.7975
"44",1,2,19,3.0025
"45",1,2,20,1.5925
"46",1,2,21,0.267499999999999
"47",1,2,22,-1.37
"48",1,2,23,-3.3175
"49",1,3,0,-7.37364583333333
"50",1,3,1,-8.14614583333334
"51",1,3,2,-9.04364583333334
"52",1,3,3,-8.12864583333333
"53",1,3,4,-6.25864583333333
"54",1,3,5,-3.99614583333333
"55",1,3,6,4.84885416666666
"56",1,3,7,0.818854166666665
"57",1,3,8,0.141354166666665
"58",1,3,9,2.95385416666667
"59",1,3,10,1.62885416666667
"60",1,3,11,1.63635416666666
"61",1,3,12,2.48385416666667
"62",1,3,13,4.67885416666666
"63",1,3,14,4.84635416666667
"64",1,3,15,4.79385416666666
"65",1,3,16,3.96385416666666
"66",1,3,17,4.68385416666667
"67",1,3,18,22.1663541666667
"68",1,3,19,6.50135416666666
"69",1,3,20,2.77635416666666
"70",1,3,21,1.17385416666666
"71",1,3,22,-1.02364583333333
"72",1,3,23,-2.12614583333333
"73",1,4,0,-5.99208333333334
"74",1,4,1,-7.13708333333333
"75",1,4,2,-7.04958333333333
"76",1,4,3,-6.63208333333333
"77",1,4,4,-6.16208333333333
"78",1,4,5,-3.07708333333333
"79",1,4,6,12.4179166666667
"80",1,4,7,9.33541666666667
"81",1,4,8,4.28041666666666
"82",1,4,9,2.59791666666666
"83",1,4,10,0.710416666666666
"84",1,4,11,0.875416666666666
"85",1,4,12,1.10041666666667
"86",1,4,13,2.52291666666667
"87",1,4,14,4.60541666666666
"88",1,4,15,5.31541666666666
"89",1,4,16,7.78041666666666
"90",1,4,17,2.56791666666667
"91",1,4,18,1.88541666666667
"92",1,4,19,5.12541666666666
"93",1,4,20,5.78791666666667
"94",1,4,21,-0.644583333333335
"95",1,4,22,-2.51958333333334
"96",1,4,23,-3.69458333333334
"97",1,5,0,-3.99864583333333
"98",1,5,1,-5.37364583333333
"99",1,5,2,-7.30614583333333
"100",1,5,3,-8.51364583333333
"101",1,5,4,-8.44364583333333
"102",1,5,5,-6.60614583333333
"103",1,5,6,-2.38614583333333
"104",1,5,7,-3.04864583333333
"105",1,5,8,-1.79864583333333
"106",1,5,9,-1.35114583333333
"107",1,5,10,-1.13614583333333
"108",1,5,11,1.05385416666667
"109",1,5,12,2.29135416666667
"110",1,5,13,5.20385416666667
"111",1,5,14,10.3513541666667
"112",1,5,15,17.3363541666667
"113",1,5,16,19.2288541666667
"114",1,5,17,11.2538541666667
"115",1,5,18,4.36885416666667
"116",1,5,19,3.40885416666667
"117",1,5,20,4.37885416666667
"118",1,5,21,1.14635416666667
"119",1,5,22,-1.70864583333333
