"","Day","Month","Hour","ShapeProfValue"
"1",1,1,0,-4.35270833333333
"2",1,1,1,-5.86770833333333
"3",1,1,2,-6.40520833333333
"4",1,1,3,-6.26770833333333
"5",1,1,4,-5.24770833333333
"6",1,1,5,-3.56520833333333
"7",1,1,6,-0.302708333333334
"8",1,1,7,1.02229166666667
"9",1,1,8,5.52479166666667
"10",1,1,9,6.73979166666667
"11",1,1,10,5.41729166666667
"12",1,1,11,1.12979166666667
"13",1,1,12,-0.525208333333333
"14",1,1,13,-1.73770833333333
"15",1,1,14,-1.87270833333333
"16",1,1,15,-2.25770833333333
"17",1,1,16,-1.20020833333333
"18",1,1,17,11.8297916666667
"19",1,1,18,14.8222916666667
"20",1,1,19,9.31729166666667
"21",1,1,20,6.49729166666667
"22",1,1,21,2.79479166666667
"23",1,1,22,0.577291666666665
"24",1,1,23,-2.07020833333333
"25",1,2,0,-5.4675
"26",1,2,1,-6.6675
"27",1,2,2,-6.5875
"28",1,2,3,-3.86
"29",1,2,4,-3.0375
"30",1,2,5,0.405000000000001
"31",1,2,6,12.2375
"32",1,2,7,5.83
"33",1,2,8,4.0375
"34",1,2,9,4.1575
"35",1,2,10,2.6625
"36",1,2,11,1.565
"37",1,2,12,0.970000000000002
"38",1,2,13,1.0775
"39",1,2,14,0.8225
"40",1,2,15,0.0600000000000009
"41",1,2,16,0.00750000000000117
"42",1,2,17,6.5375
"43",1,2,18,11.2225
"44",1,2,19,2.09
"45",1,2,20,1.1975
"46",1,2,21,-0.0124999999999997
"47",1,2,22,-1.9425
"48",1,2,23,-3.305
"49",1,3,0,-8.994375
"50",1,3,1,-9.294375
"51",1,3,2,-9.889375
"52",1,3,3,-8.184375
"53",1,3,4,-5.821875
"54",1,3,5,-3.566875
"55",1,3,6,4.508125
"56",1,3,7,1.138125
"57",1,3,8,0.460624999999999
"58",1,3,9,3.240625
"59",1,3,10,1.403125
"60",1,3,11,0.950624999999999
"61",1,3,12,1.563125
"62",1,3,13,3.138125
"63",1,3,14,3.240625
"64",1,3,15,3.450625
"65",1,3,16,3.458125
"66",1,3,17,5.450625
"67",1,3,18,23.670625
"68",1,3,19,7.833125
"69",1,3,20,4.090625
"70",1,3,21,2.550625
"71",1,3,22,0.288124999999998
"72",1,3,23,-0.684375000000002
"73",1,4,0,-7.36364583333333
"74",1,4,1,-8.15114583333333
"75",1,4,2,-7.39364583333333
"76",1,4,3,-6.55114583333333
"77",1,4,4,-5.99864583333333
"78",1,4,5,-2.57364583333333
"79",1,4,6,14.9913541666667
"80",1,4,7,11.6513541666667
"81",1,4,8,5.49385416666667
"82",1,4,9,4.08635416666667
"83",1,4,10,1.49135416666667
"84",1,4,11,1.15635416666667
"85",1,4,12,1.01385416666667
"86",1,4,13,2.07885416666667
"87",1,4,14,3.41135416666667
"88",1,4,15,3.57135416666667
"89",1,4,16,5.91885416666667
"90",1,4,17,1.25885416666667
"91",1,4,18,1.50385416666667
"92",1,4,19,5.70385416666667
"93",1,4,20,5.66885416666667
"94",1,4,21,-0.711145833333334
"95",1,4,22,-2.55364583333333
"96",1,4,23,-3.70364583333333
"97",1,5,0,-3.659375
"98",1,5,1,-4.494375
"99",1,5,2,-6.109375
"100",1,5,3,-7.186875
"101",1,5,4,-6.926875
"102",1,5,5,-5.859375
"103",1,5,6,-1.709375
"104",1,5,7,-2.634375
"105",1,5,8,-0.0468750000000018
"106",1,5,9,0.210624999999999
"107",1,5,10,0.238124999999999
"108",1,5,11,2.060625
"109",1,5,12,2.708125
"110",1,5,13,4.258125
"111",1,5,14,8.290625
"112",1,5,15,14.593125
"113",1,5,16,16.228125
"114",1,5,17,8.748125
"115",1,5,18,4.220625
"116",1,5,19,3.325625
"117",1,5,20,3.940625
"118",1,5,21,0.0981249999999982
"119",1,5,22,-2.084375
"120",1,5,23,-4.209375
"121",1,6,0,-6.43083333333333
"122",1,6,1,-7.55083333333333
"123",1,6,2,-8.27333333333333
"124",1,6,3,-8.36333333333333
"125",1,6,4,-8.14583333333333
"126",1,6,5,-7.25333333333333
