"","Day","Month","Hour","ShapeProfValue"
"1",1,1,0,-4.21375
"2",1,1,1,-5.73875
"3",1,1,2,-6.25875
"4",1,1,3,-6.13375
"5",1,1,4,-5.17375
"6",1,1,5,-3.71125
"7",1,1,6,-0.428750000000001
"8",1,1,7,0.828749999999998
"9",1,1,8,5.49375
"10",1,1,9,6.92125
"11",1,1,10,5.96625
"12",1,1,11,1.67625
"13",1,1,12,0.00624999999999964
"14",1,1,13,-1.13875
"15",1,1,14,-1.46125
"16",1,1,15,-1.92875
"17",1,1,16,-1.07375
"18",1,1,17,11.48375
"19",1,1,18,14.14875
"20",1,1,19,8.59875
"21",1,1,20,5.98875
"22",1,1,21,2.12875
"23",1,1,22,0.316249999999998
"24",1,1,23,-2.29625
"25",1,2,0,-6.10864583333333
"26",1,2,1,-7.40614583333334
"27",1,2,2,-7.40364583333334
"28",1,2,3,-4.80114583333333
"29",1,2,4,-3.93614583333333
"30",1,2,5,-0.481145833333334
"31",1,2,6,11.9663541666667
"32",1,2,7,5.62135416666667
"33",1,2,8,3.63885416666666
"34",1,2,9,3.80385416666666
"35",1,2,10,2.36885416666666
"36",1,2,11,1.58885416666666
"37",1,2,12,1.20135416666667
"38",1,2,13,1.49385416666667
"39",1,2,14,1.43635416666667
"40",1,2,15,0.946354166666665
"41",1,2,16,0.868854166666666
"42",1,2,17,7.32135416666667
"43",1,2,18,12.1713541666667
"44",1,2,19,2.74635416666667
"45",1,2,20,1.47885416666666
"46",1,2,21,0.201354166666666
"47",1,2,22,-1.51114583333334
"48",1,2,23,-3.20614583333334
"49",1,3,0,-7.3634375
"50",1,3,1,-7.9234375
"51",1,3,2,-8.8559375
"52",1,3,3,-7.9859375
"53",1,3,4,-6.0309375
"54",1,3,5,-4.1134375
"55",1,3,6,4.5615625
"56",1,3,7,0.831562500000001
"57",1,3,8,0.249062500000001
"58",1,3,9,3.0140625
"59",1,3,10,1.5565625
"60",1,3,11,1.4865625
"61",1,3,12,2.2540625
"62",1,3,13,4.1765625
"63",1,3,14,4.2890625
"64",1,3,15,4.2365625
"65",1,3,16,3.6615625
"66",1,3,17,4.7390625
"67",1,3,18,22.5215625
"68",1,3,19,6.7190625
"69",1,3,20,3.0290625
"70",1,3,21,1.4340625
"71",1,3,22,-0.788437499999999
"72",1,3,23,-1.6984375
"73",1,4,0,-6.4209375
"74",1,4,1,-7.6009375
"75",1,4,2,-7.3234375
"76",1,4,3,-6.4984375
"77",1,4,4,-5.7909375
"78",1,4,5,-2.4034375
"79",1,4,6,15.7590625
"80",1,4,7,12.4265625
"81",1,4,8,6.5440625
"82",1,4,9,3.7515625
"83",1,4,10,0.961562499999999
"84",1,4,11,0.761562499999999
"85",1,4,12,0.476562499999999
"86",1,4,13,1.5840625
"87",1,4,14,2.8690625
"88",1,4,15,3.2590625
"89",1,4,16,5.5890625
"90",1,4,17,1.4915625
"91",1,4,18,1.6690625
"92",1,4,19,5.6215625
"93",1,4,20,5.5165625
"94",1,4,21,-0.9734375
"95",1,4,22,-3.0609375
"96",1,4,23,-4.2084375
"97",1,5,0,-4.22083333333333
"98",1,5,1,-5.36083333333333
"99",1,5,2,-7.25083333333333
"100",1,5,3,-8.39333333333333
"101",1,5,4,-8.19083333333333
"102",1,5,5,-6.46333333333333
"103",1,5,6,-2.14333333333333
"104",1,5,7,-2.67583333333333
"105",1,5,8,-1.19833333333333
"106",1,5,9,-0.478333333333333
"107",1,5,10,-0.300833333333335
"108",1,5,11,1.87666666666667
"109",1,5,12,2.30166666666667
"110",1,5,13,5.10916666666667
"111",1,5,14,9.41666666666667
"112",1,5,15,16.2716666666667
"113",1,5,16,18.4116666666667
"114",1,5,17,10.1016666666667
"115",1,5,18,4.65166666666667
"116",1,5,19,4.05166666666667
"117",1,5,20,4.51916666666667
"118",1,5,21,0.656666666666666
"119",1,5,22,-2.02083333333333
"120",1,5,23,-4.67083333333333
"121",1,6,0,-6.50385416666666
"122",1,6,1,-7.74885416666667
"123",1,6,2,-8.45885416666667
"124",1,6,3,-8.61385416666667
"125",1,6,4,-8.45885416666667
"126",1,6,5,-7.55885416666667
"127",1,6,6,-6.32635416666667
"128",1,6,7,-6.24635416666666
"129",1,6,8,-5.23135416666666
"130",1,6,9,-3.55885416666667
"131",1,6,10,-0.818854166666665
"132",1,6,11,1.52614583333333
"133",1,6,12,3.82864583333333
"134",1,6,13,6.74364583333333
