"","Day","Month","Hour","ShapeProfValue"
"1",1,1,0,-5.278125
"2",1,1,1,-6.838125
"3",1,1,2,-7.245625
"4",1,1,3,-7.125625
"5",1,1,4,-6.185625
"6",1,1,5,-4.863125
"7",1,1,6,-1.818125
"8",1,1,7,-0.285625
"9",1,1,8,5.949375
"10",1,1,9,7.244375
"11",1,1,10,5.971875
"12",1,1,11,1.964375
"13",1,1,12,0.314374999999999
"14",1,1,13,-1.085625
"15",1,1,14,-1.218125
"16",1,1,15,-1.698125
"17",1,1,16,-0.393125
"18",1,1,17,11.446875
"19",1,1,18,15.859375
"20",1,1,19,10.076875
"21",1,1,20,7.414375
"22",1,1,21,3.381875
"23",1,1,22,0.521875
"24",1,1,23,-2.110625
"25",1,2,0,-6.34625
"26",1,2,1,-7.65875
"27",1,2,2,-7.66375
"28",1,2,3,-5.08375
"29",1,2,4,-4.19875
"30",1,2,5,-0.73875
"31",1,2,6,11.64875
"32",1,2,7,5.36875
"33",1,2,8,3.65625
"34",1,2,9,3.61375
"35",1,2,10,2.21125
"36",1,2,11,1.42375
"37",1,2,12,1.06125
"38",1,2,13,1.48625
"39",1,2,14,1.49875
"40",1,2,15,1.06375
"41",1,2,16,1.20375
"42",1,2,17,7.73625
"43",1,2,18,12.72625
"44",1,2,19,3.15375
"45",1,2,20,1.83625
"46",1,2,21,0.586249999999999
"47",1,2,22,-1.39125
"48",1,2,23,-3.19375
"49",1,3,0,-7.314375
"50",1,3,1,-8.266875
"51",1,3,2,-9.131875
"52",1,3,3,-8.049375
"53",1,3,4,-6.301875
"54",1,3,5,-3.714375
"55",1,3,6,4.920625
"56",1,3,7,0.845625000000002
"57",1,3,8,0.0656250000000007
"58",1,3,9,2.948125
"59",1,3,10,1.583125
"60",1,3,11,1.425625
"61",1,3,12,2.305625
"62",1,3,13,4.493125
"63",1,3,14,4.793125
"64",1,3,15,4.700625
"65",1,3,16,3.828125
"66",1,3,17,4.783125
"67",1,3,18,22.398125
"68",1,3,19,6.615625
"69",1,3,20,2.795625
"70",1,3,21,1.265625
"71",1,3,22,-0.906874999999999
"72",1,3,23,-2.081875
"73",1,4,0,-7.09989583333333
"74",1,4,1,-8.28739583333333
"75",1,4,2,-8.09489583333334
"76",1,4,3,-7.63489583333333
"77",1,4,4,-7.04989583333333
"78",1,4,5,-3.74989583333334
"79",1,4,6,14.0776041666667
"80",1,4,7,10.7976041666667
"81",1,4,8,5.03010416666667
"82",1,4,9,2.95760416666667
"83",1,4,10,0.805104166666665
"84",1,4,11,0.735104166666666
"85",1,4,12,1.03760416666667
"86",1,4,13,2.57760416666667
"87",1,4,14,4.90510416666667
"88",1,4,15,5.77510416666667
"89",1,4,16,8.47260416666666
"90",1,4,17,3.14510416666667
"91",1,4,18,2.09760416666666
"92",1,4,19,5.66010416666666
"93",1,4,20,6.19010416666666
"94",1,4,21,-0.829895833333334
"95",1,4,22,-3.10739583333334
"96",1,4,23,-4.40989583333333
"97",1,5,0,-3.78833333333333
"98",1,5,1,-5.54833333333333
"99",1,5,2,-7.85833333333333
"100",1,5,3,-9.07833333333333
"101",1,5,4,-9.07333333333333
"102",1,5,5,-7.03583333333333
"103",1,5,6,-2.27583333333333
"104",1,5,7,-3.01583333333333
"105",1,5,8,-2.65083333333333
"106",1,5,9,-1.98833333333333
"107",1,5,10,-1.71583333333333
"108",1,5,11,0.449166666666667
"109",1,5,12,1.90666666666667
"110",1,5,13,4.55166666666667
"111",1,5,14,10.2816666666667
"112",1,5,15,17.7541666666667
"113",1,5,16,20.0866666666667
"114",1,5,17,11.9866666666667
"115",1,5,18,4.85166666666667
"116",1,5,19,4.09166666666667
"117",1,5,20,6.04666666666667
"118",1,5,21,2.35916666666667
"119",1,5,22,-1.94083333333333
"120",1,5,23,-4.39583333333333
"121",1,6,0,-7.27635416666667
"122",1,6,1,-8.73385416666667
"123",1,6,2,-9.49135416666667
"124",1,6,3,-9.74635416666667
"125",1,6,4,-9.67635416666666
"126",1,6,5,-8.73635416666666
"127",1,6,6,-6.96635416666667
"128",1,6,7,-6.53385416666667
"129",1,6,8,-4.79635416666667
"130",1,6,9,-3.00135416666667
"131",1,6,10,-0.306354166666666
"132",1,6,11,2.12864583333334
"133",1,6,12,4.21114583333333
"134",1,6,13,7.30114583333333
"135",1,6,14,18.8861458333333
"136",1,6,15,30.3911458333333
"137",1,6,16,28.1261458333333
"138",1,6,17,8.92364583333334
"139",1,6,18,4.26864583333333
"140",1,6,19,1.73614583333333
"141",1,6,20,1.26364583333334
"142",1,6,21,-0.416354166666665
"143",1,6,22,-1.85385416666667
"144",1,6,23,-5.70135416666667
"145",1,7,0,-6.43208333333333
"146",1,7,1,-8.71458333333334
"147",1,7,2,-9.84458333333333
"148",1,7,3,-10.5245833333333
"149",1,7,4,-10.5570833333333
"150",1,7,5,-9.73708333333333
"151",1,7,6,-8.35458333333333
"152",1,7,7,-7.71458333333333
"153",1,7,8,-6.41458333333333
"154",1,7,9,-4.50708333333333
"155",1,7,10,-1.08208333333334
"156",1,7,11,0.715416666666665
"157",1,7,12,4.93041666666666
"158",1,7,13,10.6829166666667
"159",1,7,14,17.2629166666667
"160",1,7,15,29.2629166666667
"161",1,7,16,34.4754166666667
"162",1,7,17,14.6279166666667
"163",1,7,18,5.45291666666667
"164",1,7,19,2.29791666666667
"165",1,7,20,-0.339583333333334
"166",1,7,21,-1.36958333333333
"167",1,7,22,-3.75958333333334
"168",1,7,23,-6.35708333333333
"169",1,8,0,-14.77375
"170",1,8,1,-16.10375
"171",1,8,2,-16.81125
"172",1,8,3,-17.37375
"173",1,8,4,-17.29875
"174",1,8,5,-16.24875
"175",1,8,6,-14.67625
"176",1,8,7,-13.50375
"177",1,8,8,-12.47875
"178",1,8,9,-10.19625
"179",1,8,10,-6.60125
"180",1,8,11,-2.91125
"181",1,8,12,4.79375
"182",1,8,13,26.90625
"183",1,8,14,41.50875
"184",1,8,15,59.94125
"185",1,8,16,56.91875
"186",1,8,17,24.44875
"187",1,8,18,4.49875
"188",1,8,19,-1.02624999999999
"189",1,8,20,-3.93625
"190",1,8,21,-7.78375
"191",1,8,22,-10.79375
"192",1,8,23,-12.49875
"193",1,9,0,-10.6226041666667
"194",1,9,1,-11.6726041666667
"195",1,9,2,-12.3301041666667
"196",1,9,3,-12.7001041666667
"197",1,9,4,-12.7701041666667
"198",1,9,5,-12.3601041666667
"199",1,9,6,-10.6051041666667
"200",1,9,7,-10.4026041666667
"201",1,9,8,-9.32260416666667
"202",1,9,9,-7.51760416666667
"203",1,9,10,-4.56260416666667
"204",1,9,11,-0.0351041666666658
"205",1,9,12,5.38739583333333
"206",1,9,13,12.1723958333333
"207",1,9,14,26.9273958333333
"208",1,9,15,41.8948958333333
"209",1,9,16,44.7823958333333
"210",1,9,17,17.7973958333333
"211",1,9,18,6.06239583333333
"212",1,9,19,2.36989583333333
"213",1,9,20,0.547395833333334
"214",1,9,21,-2.72510416666667
"215",1,9,22,-7.03260416666667
"216",1,9,23,-9.28260416666667
"217",1,10,0,-7.51395833333333
"218",1,10,1,-8.95395833333333
"219",1,10,2,-9.76145833333333
"220",1,10,3,-10.0539583333333
"221",1,10,4,-9.96645833333333
"222",1,10,5,-9.23395833333333
"223",1,10,6,-7.43395833333333
"224",1,10,7,-6.97895833333333
"225",1,10,8,-5.89645833333333
"226",1,10,9,-5.15895833333333
"227",1,10,10,-3.37395833333333
"228",1,10,11,-1.64645833333333
"229",1,10,12,0.341041666666667
