"","Day","Month","Hour","ShapeProfValue"
"1",1,1,0,-3.3109375
"2",1,1,1,-4.7884375
"3",1,1,2,-5.4734375
"4",1,1,3,-5.3409375
"5",1,1,4,-4.3659375
"6",1,1,5,-2.7584375
"7",1,1,6,-0.153437499999998
"8",1,1,7,0.6365625
"9",1,1,8,5.4390625
"10",1,1,9,6.4540625
"11",1,1,10,5.5290625
"12",1,1,11,1.3665625
"13",1,1,12,-0.225937499999999
"14",1,1,13,-1.3984375
"15",1,1,14,-1.6884375
"16",1,1,15,-2.1334375
"17",1,1,16,-1.4109375
"18",1,1,17,11.0415625
"19",1,1,18,13.5965625
"20",1,1,19,7.9240625
"21",1,1,20,5.6215625
"22",1,1,21,1.6840625
"23",1,1,22,0.179062500000001
"24",1,1,23,-2.4234375
"25",1,2,0,-6.63302083333333
"26",1,2,1,-8.11552083333333
"27",1,2,2,-8.18552083333333
"28",1,2,3,-5.75052083333333
"29",1,2,4,-4.86802083333333
"30",1,2,5,-1.31552083333333
"31",1,2,6,10.9469791666667
"32",1,2,7,4.40197916666667
"33",1,2,8,2.86197916666667
"34",1,2,9,3.03447916666667
"35",1,2,10,1.85947916666667
"36",1,2,11,1.83447916666667
"37",1,2,12,1.85197916666667
"38",1,2,13,2.37197916666667
"39",1,2,14,3.15947916666667
"40",1,2,15,2.97197916666667
"41",1,2,16,2.38697916666667
"42",1,2,17,9.49447916666667
"43",1,2,18,13.9044791666667
"44",1,2,19,3.49947916666667
"45",1,2,20,1.25697916666667
"46",1,2,21,-0.148020833333333
"47",1,2,22,-2.28802083333333
"48",1,2,23,-4.53302083333333
"49",1,3,0,-7.66875
"50",1,3,1,-8.56125
"51",1,3,2,-9.61625
"52",1,3,3,-8.98375
"53",1,3,4,-7.21125
"54",1,3,5,-5.03125
"55",1,3,6,5.53125
"56",1,3,7,0.818750000000001
"57",1,3,8,0.393750000000001
"58",1,3,9,3.38375
"59",1,3,10,2.39125
"60",1,3,11,2.99375
"61",1,3,12,4.57875
"62",1,3,13,7.34375
"63",1,3,14,7.29875
"64",1,3,15,6.64375
"65",1,3,16,4.84125
"66",1,3,17,4.05125
"67",1,3,18,20.83125
"68",1,3,19,4.91125
"69",1,3,20,1.43375
"70",1,3,21,-0.361249999999999
"71",1,3,22,-2.49375
"72",1,3,23,-3.51875
"73",1,4,0,-9.75145833333333
"74",1,4,1,-10.7789583333333
"75",1,4,2,-11.1689583333333
"76",1,4,3,-11.2239583333333
"77",1,4,4,-10.7889583333333
"78",1,4,5,-7.78895833333333
"79",1,4,6,8.83354166666667
"80",1,4,7,4.83104166666667
"81",1,4,8,-0.461458333333333
"82",1,4,9,-1.24645833333333
"83",1,4,10,-2.31145833333333
"84",1,4,11,-0.591458333333334
"85",1,4,12,2.27854166666667
"86",1,4,13,7.29104166666667
"87",1,4,14,15.1835416666667
"88",1,4,15,19.0585416666667
"89",1,4,16,22.1785416666667
"90",1,4,17,10.4560416666667
"91",1,4,18,2.68354166666667
"92",1,4,19,4.46104166666667
"93",1,4,20,7.19104166666667
"94",1,4,21,-2.07895833333333
"95",1,4,22,-5.18645833333333
"96",1,4,23,-7.06895833333333
"97",1,5,0,-6.10020833333333
"98",1,5,1,-7.87520833333333
"99",1,5,2,-9.89020833333333
"100",1,5,3,-11.0902083333333
"101",1,5,4,-10.8502083333333
"102",1,5,5,-8.63270833333333
"103",1,5,6,-3.62270833333333
"104",1,5,7,-4.87020833333333
"105",1,5,8,-3.33270833333333
"106",1,5,9,-2.26020833333333
"107",1,5,10,-1.46020833333333
"108",1,5,11,1.63229166666667
"109",1,5,12,3.00229166666667
"110",1,5,13,7.34479166666666
"111",1,5,14,15.5397916666667
"112",1,5,15,26.3972916666667
"113",1,5,16,28.8547916666667
"114",1,5,17,14.4797916666667
"115",1,5,18,3.56229166666667
"116",1,5,19,1.98979166666667
"117",1,5,20,2.61729166666667
"118",1,5,21,-1.09770833333333
"119",1,5,22,-3.37020833333333
"120",1,5,23,-6.96770833333333
"121",1,6,0,-9.225625
"122",1,6,1,-10.705625
"123",1,6,2,-11.425625
"124",1,6,3,-11.608125
"125",1,6,4,-11.475625
"126",1,6,5,-10.545625
"127",1,6,6,-9.128125
"128",1,6,7,-9.008125
"129",1,6,8,-7.663125
"130",1,6,9,-5.268125
"131",1,6,10,-1.585625
"132",1,6,11,1.544375
"133",1,6,12,6.099375
"134",1,6,13,10.821875
"135",1,6,14,25.549375
"136",1,6,15,39.556875
"137",1,6,16,36.839375
"138",1,6,17,11.436875
"139",1,6,18,4.911875
"140",1,6,19,0.0443749999999996
"141",1,6,20,-0.253125
"142",1,6,21,-2.573125
"143",1,6,22,-4.420625
"144",1,6,23,-7.918125
"145",1,7,0,-7.81604166666667
"146",1,7,1,-10.0960416666667
"147",1,7,2,-11.3110416666667
"148",1,7,3,-12.1135416666667
"149",1,7,4,-12.1360416666667
"150",1,7,5,-11.3285416666667
"151",1,7,6,-10.0685416666667
"152",1,7,7,-9.28104166666667
"153",1,7,8,-8.18354166666667
"154",1,7,9,-5.86104166666667
"155",1,7,10,-0.473541666666669
"156",1,7,11,1.52395833333333
"157",1,7,12,7.49145833333333
"158",1,7,13,14.0639583333333
"159",1,7,14,23.4714583333333
"160",1,7,15,35.9239583333333
"161",1,7,16,39.0689583333333
"162",1,7,17,15.2339583333333
"163",1,7,18,4.08145833333333
"164",1,7,19,0.653958333333332
"165",1,7,20,-1.94604166666667
"166",1,7,21,-3.55854166666667
"167",1,7,22,-5.32854166666667
"168",1,7,23,-8.01104166666667
"169",1,8,0,-15.4879166666667
"170",1,8,1,-16.7679166666667
"171",1,8,2,-17.4679166666667
"172",1,8,3,-18.0154166666667
"173",1,8,4,-18.0054166666667
"174",1,8,5,-16.9204166666667
"175",1,8,6,-15.7454166666667
"176",1,8,7,-15.5054166666667
"177",1,8,8,-13.7904166666667
"178",1,8,9,-11.1854166666667
"179",1,8,10,-7.72791666666667
"180",1,8,11,-2.74291666666667
"181",1,8,12,6.28708333333333
"182",1,8,13,29.0095833333333
"183",1,8,14,46.8170833333333
"184",1,8,15,65.0520833333333
"185",1,8,16,59.1545833333333
"186",1,8,17,25.3745833333333
"187",1,8,18,3.94958333333333
"188",1,8,19,-2.40541666666667
