"","Day","Month","Hour","ShapeProfValue"
"1",1,1,0,-4.28041666666667
"2",1,1,1,-5.77041666666667
"3",1,1,2,-6.32541666666667
"4",1,1,3,-6.20291666666667
"5",1,1,4,-5.24291666666667
"6",1,1,5,-1.97291666666667
"7",1,1,6,-0.870416666666668
"8",1,1,7,0.429583333333333
"9",1,1,8,5.38958333333333
"10",1,1,9,6.83458333333333
"11",1,1,10,5.87708333333333
"12",1,1,11,1.68208333333333
"13",1,1,12,-0.000416666666667176
"14",1,1,13,-1.20541666666667
"15",1,1,14,-1.47791666666667
"16",1,1,15,-1.96041666666667
"17",1,1,16,-1.08791666666667
"18",1,1,17,11.3795833333333
"19",1,1,18,14.1345833333333
"20",1,1,19,8.54958333333333
"21",1,1,20,5.95708333333333
"22",1,1,21,2.16958333333333
"23",1,1,22,0.309583333333333
"24",1,1,23,-2.31541666666667
"25",1,2,0,-6.13583333333333
"26",1,2,1,-7.43083333333333
"27",1,2,2,-7.42833333333333
"28",1,2,3,-4.82333333333333
"29",1,2,4,-3.95833333333333
"30",1,2,5,-0.495833333333334
"31",1,2,6,11.7016666666667
"32",1,2,7,5.35916666666667
"33",1,2,8,3.58666666666667
"34",1,2,9,3.63666666666667
"35",1,2,10,2.22166666666667
"36",1,2,11,1.48666666666667
"37",1,2,12,1.09416666666667
"38",1,2,13,1.42666666666667
"39",1,2,14,1.45416666666667
"40",1,2,15,1.06666666666667
"41",1,2,16,1.12416666666667
"42",1,2,17,7.62916666666667
"43",1,2,18,12.4116666666667
"44",1,2,19,2.88916666666667
"45",1,2,20,1.51166666666667
"46",1,2,21,0.284166666666667
"47",1,2,22,-1.43833333333333
"48",1,2,23,-3.17333333333333
"49",1,3,0,-7.45979166666667
"50",1,3,1,-8.02729166666667
"51",1,3,2,-8.94729166666667
"52",1,3,3,-8.11229166666667
"53",1,3,4,-6.11479166666667
"54",1,3,5,-4.26729166666667
"55",1,3,6,4.70520833333333
"56",1,3,7,0.832708333333333
"57",1,3,8,0.207708333333332
"58",1,3,9,2.96270833333333
"59",1,3,10,1.52520833333333
"60",1,3,11,1.49270833333333
"61",1,3,12,2.39520833333333
"62",1,3,13,4.36770833333333
"63",1,3,14,4.48520833333333
"64",1,3,15,4.41020833333333
"65",1,3,16,3.76270833333333
"66",1,3,17,4.77020833333333
"67",1,3,18,22.4952083333333
"68",1,3,19,6.69770833333333
"69",1,3,20,3.00770833333333
"70",1,3,21,1.39020833333333
"71",1,3,22,-0.804791666666667
"72",1,3,23,-1.77479166666667
"73",1,4,0,-5.76
"74",1,4,1,-6.9075
"75",1,4,2,-6.65
"76",1,4,3,-6.14
"77",1,4,4,-5.4875
"78",1,4,5,-2.3075
"79",1,4,6,14.6725
"80",1,4,7,11.5075
"81",1,4,8,6.1075
"82",1,4,9,3.395
"83",1,4,10,0.975
"84",1,4,11,0.722499999999999
"85",1,4,12,0.387499999999999
"86",1,4,13,1.3375
"87",1,4,14,2.38
"88",1,4,15,2.5825
"89",1,4,16,5.0925
"90",1,4,17,1.185
"91",1,4,18,1.8925
"92",1,4,19,5.7525
"93",1,4,20,5.845
"94",1,4,21,-0.495000000000002
"95",1,4,22,-2.5275
"96",1,4,23,-3.56
"97",1,5,0,-4.0040625
"98",1,5,1,-5.1990625
"99",1,5,2,-7.1215625
"100",1,5,3,-8.2765625
"101",1,5,4,-8.0940625
"102",1,5,5,-6.3865625
"103",1,5,6,-1.9415625
"104",1,5,7,-2.6265625
"105",1,5,8,-1.2740625
"106",1,5,9,-0.624062499999999
"107",1,5,10,-0.501562499999998
"108",1,5,11,1.4209375
"109",1,5,12,2.1534375
"110",1,5,13,4.7684375
"111",1,5,14,9.3184375
"112",1,5,15,16.1609375
"113",1,5,16,18.6184375
"114",1,5,17,10.2059375
"115",1,5,18,4.5259375
"116",1,5,19,3.9334375
"117",1,5,20,4.5659375
"118",1,5,21,0.748437500000001
"119",1,5,22,-1.8315625
"120",1,5,23,-4.5390625
"121",1,6,0,-7.091875
"122",1,6,1,-8.416875
"123",1,6,2,-9.134375
"124",1,6,3,-9.299375
"125",1,6,4,-9.169375
"126",1,6,5,-8.251875
"127",1,6,6,-6.731875
"128",1,6,7,-6.409375
"129",1,6,8,-5.256875
"130",1,6,9,-3.541875
"131",1,6,10,-0.651875
"132",1,6,11,1.803125
"133",1,6,12,4.533125
"134",1,6,13,7.853125
"135",1,6,14,19.400625
