"","Day","Month","Hour","ShapeProfValue"
"1",1,1,0,-4.10197916666667
"2",1,1,1,-5.60197916666666
"3",1,1,2,-6.16697916666666
"4",1,1,3,-6.02947916666666
"5",1,1,4,-5.05447916666667
"6",1,1,5,-3.49197916666667
"7",1,1,6,-0.429479166666665
"8",1,1,7,0.888020833333336
"9",1,1,8,5.83552083333334
"10",1,1,9,6.85302083333334
"11",1,1,10,5.62302083333333
"12",1,1,11,1.36552083333333
"13",1,1,12,-0.284479166666666
"14",1,1,13,-1.47947916666667
"15",1,1,14,-1.65947916666667
"16",1,1,15,-2.10447916666667
"17",1,1,16,-1.19947916666666
"18",1,1,17,11.6305208333333
"19",1,1,18,14.3380208333333
"20",1,1,19,8.71552083333333
"21",1,1,20,6.20552083333334
"22",1,1,21,2.15802083333333
"23",1,1,22,0.298020833333334
"24",1,1,23,-2.30697916666667
"25",1,2,0,-5.35052083333333
"26",1,2,1,-6.55302083333333
"27",1,2,2,-6.52802083333333
"28",1,2,3,-3.83802083333333
"29",1,2,4,-3.02302083333333
"30",1,2,5,0.444479166666667
"31",1,2,6,12.1769791666667
"32",1,2,7,5.81947916666667
"33",1,2,8,4.03197916666667
"34",1,2,9,4.17197916666667
"35",1,2,10,2.63447916666667
"36",1,2,11,1.41447916666667
"37",1,2,12,0.886979166666667
"38",1,2,13,1.00197916666667
"39",1,2,14,0.789479166666666
"40",1,2,15,-0.0730208333333326
"41",1,2,16,-0.0805208333333329
"42",1,2,17,6.37947916666667
"43",1,2,18,10.9819791666667
"44",1,2,19,1.93447916666667
"45",1,2,20,1.14197916666667
"46",1,2,21,0.089479166666667
"47",1,2,22,-1.61802083333333
"48",1,2,23,-2.83552083333333
"49",1,3,0,-6.4834375
"50",1,3,1,-7.0534375
"51",1,3,2,-7.9859375
"52",1,3,3,-7.3084375
"53",1,3,4,-5.2834375
"54",1,3,5,-3.5134375
"55",1,3,6,4.1390625
"56",1,3,7,1.0315625
"57",1,3,8,0.599062499999998
"58",1,3,9,3.3465625
"59",1,3,10,1.5990625
"60",1,3,11,0.699062499999999
"61",1,3,12,0.991562499999999
"62",1,3,13,2.3890625
"63",1,3,14,2.2690625
"64",1,3,15,2.4815625
"65",1,3,16,2.5740625
"66",1,3,17,4.8740625
"67",1,3,18,23.2215625
"68",1,3,19,7.2090625
"69",1,3,20,3.4365625
"70",1,3,21,2.0665625
"71",1,3,22,-0.2709375
"72",1,3,23,-1.0284375
"73",1,4,0,-6.35322916666667
"74",1,4,1,-7.55322916666666
"75",1,4,2,-7.24072916666666
"76",1,4,3,-6.64322916666667
"77",1,4,4,-6.12322916666666
"78",1,4,5,-2.74072916666666
"79",1,4,6,14.8117708333333
"80",1,4,7,11.4792708333333
"81",1,4,8,5.56927083333333
"82",1,4,9,4.50427083333333
"83",1,4,10,1.60927083333333
"84",1,4,11,1.15927083333334
"85",1,4,12,0.991770833333335
"86",1,4,13,2.00177083333333
"87",1,4,14,3.18927083333334
"88",1,4,15,3.31927083333333
"89",1,4,16,5.66177083333333
"90",1,4,17,1.09927083333334
"91",1,4,18,1.41677083333333
"92",1,4,19,5.65427083333334
"93",1,4,20,5.53927083333333
"94",1,4,21,-1.03072916666666
"95",1,4,22,-2.63822916666666
"96",1,4,23,-3.68322916666667
"97",1,5,0,-4.62864583333333
"98",1,5,1,-5.47614583333333
"99",1,5,2,-7.51614583333333
"100",1,5,3,-8.67364583333333
"101",1,5,4,-8.26364583333333
"102",1,5,5,-6.76364583333333
"103",1,5,6,-2.21114583333333
"104",1,5,7,-2.21114583333333
"105",1,5,8,-1.14864583333333
"106",1,5,9,-0.228645833333333
"107",1,5,10,-0.211145833333333
"108",1,5,11,0.558854166666667
"109",1,5,12,1.74635416666667
"110",1,5,13,4.78135416666667
"111",1,5,14,9.18385416666667
"112",1,5,15,15.6838541666667
"113",1,5,16,18.2163541666667
"114",1,5,17,11.0138541666667
"115",1,5,18,6.01635416666667
