"","Day","Month","Hour","ShapeProfValue"
"1",1,1,0,-4.07708333333333
"2",1,1,1,-5.58208333333333
"3",1,1,2,-6.14208333333333
"4",1,1,3,-6.00458333333333
"5",1,1,4,-5.02958333333333
"6",1,1,5,-3.45958333333334
"7",1,1,6,-0.354583333333334
"8",1,1,7,1.01541666666667
"9",1,1,8,5.99291666666667
"10",1,1,9,6.92041666666667
"11",1,1,10,5.58041666666667
"12",1,1,11,1.35041666666667
"13",1,1,12,-0.284583333333335
"14",1,1,13,-1.48958333333333
"15",1,1,14,-1.69208333333333
"16",1,1,15,-2.13208333333333
"17",1,1,16,-1.23458333333333
"18",1,1,17,11.5554166666667
"19",1,1,18,14.2254166666667
"20",1,1,19,8.58291666666667
"21",1,1,20,6.08291666666666
"22",1,1,21,2.15291666666667
"23",1,1,22,0.310416666666665
"24",1,1,23,-2.28708333333333
"25",1,2,0,-5.25395833333333
"26",1,2,1,-6.46395833333333
"27",1,2,2,-6.48145833333333
"28",1,2,3,-3.82395833333333
"29",1,2,4,-3.01395833333333
"30",1,2,5,0.456041666666668
"31",1,2,6,12.1560416666667
"32",1,2,7,5.78854166666667
"33",1,2,8,4.00354166666667
"34",1,2,9,4.16104166666667
"35",1,2,10,2.62854166666667
"36",1,2,11,1.40104166666667
"37",1,2,12,0.853541666666667
"38",1,2,13,0.951041666666667
"39",1,2,14,0.706041666666667
"40",1,2,15,-0.153958333333333
"41",1,2,16,-0.163958333333333
"42",1,2,17,6.25354166666667
"43",1,2,18,10.8585416666667
"44",1,2,19,1.83604166666667
"45",1,2,20,1.18354166666667
"46",1,2,21,0.148541666666667
"47",1,2,22,-1.44895833333333
"48",1,2,23,-2.58145833333333
"49",1,3,0,-5.05791666666667
"50",1,3,1,-5.71041666666667
"51",1,3,2,-6.81041666666667
"52",1,3,3,-6.69041666666667
"53",1,3,4,-4.78541666666667
"54",1,3,5,-3.51541666666667
"55",1,3,6,4.02208333333333
"56",1,3,7,0.657083333333333
"57",1,3,8,0.0545833333333334
"58",1,3,9,2.99958333333333
"59",1,3,10,1.05958333333333
"60",1,3,11,0.217083333333334
"61",1,3,12,0.622083333333334
"62",1,3,13,2.00458333333333
"63",1,3,14,1.98208333333333
"64",1,3,15,2.23458333333333
"65",1,3,16,2.37208333333333
"66",1,3,17,4.74708333333333
"67",1,3,18,23.1470833333333
"68",1,3,19,7.03208333333333
"69",1,3,20,3.21958333333333
"70",1,3,21,1.85958333333333
"71",1,3,22,-0.490416666666667
"72",1,3,23,-1.17041666666667
"73",1,4,0,-5.79697916666667
"74",1,4,1,-7.21697916666667
"75",1,4,2,-7.18697916666667
"76",1,4,3,-6.72697916666667
"77",1,4,4,-6.20447916666667
"78",1,4,5,-2.86447916666667
"79",1,4,6,14.5205208333333
"80",1,4,7,11.1330208333333
"81",1,4,8,5.67052083333333
"82",1,4,9,4.75802083333333
"83",1,4,10,2.04302083333333
"84",1,4,11,1.39302083333333
"85",1,4,12,1.11302083333333
"86",1,4,13,1.91802083333333
"87",1,4,14,3.10302083333333
"88",1,4,15,3.18552083333333
"89",1,4,16,5.50552083333333
"90",1,4,17,0.913020833333333
"91",1,4,18,1.20552083333333
"92",1,4,19,5.56302083333333
"93",1,4,20,5.37802083333333
"94",1,4,21,-1.05197916666667
"95",1,4,22,-2.67197916666667
"96",1,4,23,-3.68197916666667
"97",1,5,0,-5.04989583333333
"98",1,5,1,-5.88489583333333
"99",1,5,2,-8.15989583333333
"100",1,5,3,-9.34739583333333
"101",1,5,4,-8.84989583333333
"102",1,5,5,-7.11239583333333
"103",1,5,6,-2.40239583333333
"104",1,5,7,-2.07489583333333
"105",1,5,8,-1.52489583333333
"106",1,5,9,-0.267395833333332
"107",1,5,10,-0.149895833333332
"108",1,5,11,0.015104166666668
"109",1,5,12,1.26760416666667
"110",1,5,13,4.99260416666667
"111",1,5,14,9.80260416666667
"112",1,5,15,16.4276041666667
"113",1,5,16,18.7351041666667
"114",1,5,17,11.5026041666667
"115",1,5,18,6.85510416666667
"116",1,5,19,5.77010416666667
"117",1,5,20,5.24760416666667
"118",1,5,21,1.14010416666667
"119",1,5,22,-2.02739583333333
"120",1,5,23,-4.90489583333333
"121",1,6,0,-7.043125
