"","Day","Month","Hour","ShapeProfValue"
"1",1,1,0,-6.00239583333333
"2",1,1,1,-7.38489583333333
"3",1,1,2,-7.86739583333333
"4",1,1,3,-7.62739583333333
"5",1,1,4,-6.35739583333333
"6",1,1,5,-3.05489583333333
"7",1,1,6,1.39260416666667
"8",1,1,7,2.84510416666667
"9",1,1,8,4.72260416666667
"10",1,1,9,5.31510416666667
"11",1,1,10,2.82010416666667
"12",1,1,11,-1.76239583333333
"13",1,1,12,-3.42239583333333
"14",1,1,13,-4.63739583333333
"15",1,1,14,-4.27489583333333
"16",1,1,15,-4.09739583333333
"17",1,1,16,-1.88989583333333
"18",1,1,17,14.6676041666667
"19",1,1,18,19.1576041666667
"20",1,1,19,13.6951041666667
"21",1,1,20,10.7651041666667
"22",1,1,21,5.40760416666667
"23",1,1,22,2.29260416666667
"24",1,1,23,-0.702395833333332
"25",1,2,0,-5.76083333333333
"26",1,2,1,-6.97583333333333
"27",1,2,2,-6.90833333333333
"28",1,2,3,-4.11583333333333
"29",1,2,4,-3.27333333333333
"30",1,2,5,0.481666666666666
"31",1,2,6,13.5941666666667
"32",1,2,7,6.98416666666667
"33",1,2,8,4.38416666666667
"34",1,2,9,4.15166666666667
"35",1,2,10,2.50166666666667
"36",1,2,11,1.24916666666667
"37",1,2,12,0.554166666666666
"38",1,2,13,0.649166666666666
"39",1,2,14,0.436666666666666
"40",1,2,15,-0.308333333333333
"41",1,2,16,-0.378333333333335
"42",1,2,17,6.52666666666667
"43",1,2,18,11.6591666666667
"44",1,2,19,2.46416666666667
"45",1,2,20,1.61916666666667
"46",1,2,21,0.214166666666666
"47",1,2,22,-2.10583333333333
"48",1,2,23,-3.64333333333333
"49",1,3,0,-8.8353125
"50",1,3,1,-9.2053125
"51",1,3,2,-9.8153125
"52",1,3,3,-8.2878125
"53",1,3,4,-5.8453125
"54",1,3,5,-3.4478125
"55",1,3,6,5.1696875
"56",1,3,7,1.4396875
"57",1,3,8,0.579687500000002
"58",1,3,9,3.0796875
"59",1,3,10,1.2746875
"60",1,3,11,0.574687500000001
"61",1,3,12,1.2221875
"62",1,3,13,2.8171875
"63",1,3,14,2.9946875
"64",1,3,15,4.0896875
"65",1,3,16,4.2121875
